Candidate_Location,Distance_From_Job_Location (km),Cost_of_Living_Area,Current_Role,Seniority_Level,Experience_Years,Current_Salary (INR),Expected_Salary (INR),Education_Qualification,Relevant_Skills,Certifications,Notice_Period (Days),Planned_Leaves,Shift_Preference,Service_Bond_Acceptance,Work_Mode_Preference,Current_Company_Name,Current_Company_Industry,Current_Company_Brand_Perception,Job_Hopping_History (Years),Technology_Fit,Offered_Salary (INR),Salary_Difference (INR),Salary_Competitiveness,Offered_Position_Level,Offered_Job_Role,Job_Location,Relocation_Required,Benefits_Package,Career_Growth_Opportunities,Job_Security,Offer_Company_Brand_Value,Offer_Validity_Date,Offer_Letter_Clarity,LinkedIn_Activity_Level,GitHub_Activity_Level,Sentiment_Towards_Current_Employer,Sentiment_Towards_Industry_Trends,Professional_Network,Competitor_Engagement,Response_Time_To_Outreach (Days),Response_Time_To_Interview_Request (Days),Interview_Experience_Satisfaction (1-5),Skill_Fit_With_Role (%),Engagement_Level (1-5),Economic_Conditions,Competing_Offers_Count,Highest_Competing_Offer_Salary (INR),Competing_Offer_Benefits,Competing_Offer_Role_Comparison,Industry_Job_Switching_Rates,Number_Of_Touchpoints,Recruiter_Engagement_Level,Interview_Performance_Score (1-5),Competing_Offer_Employer_Name,Competing_Offer_Role,Competing_Offer_Salary (INR),Competing_Offer_Career_Growth,Competing_Offer_Location,Competing_Offer_Work_Mode,Competing_Offer_Deadline,Candidate_Preference_Between_Offers,Negotiation_Willingness (1-5),Key_Decision_Factors,Work_Life_Balance_Programs,Recognition_And_Reward_Systems,Training_Programs_For_Freshers,Employee_Engagement_Activities,Workplace_Environment_Feedback,Expected Joining Score (1-1000)
Jehanabad,3,Medium,Analyst,Mid-Level,15,912581,663146,Master's Degree,"Python, SQL, ML",None,40,0,Night,Yes,Remote,HCL,Consulting,Neutral,7,Low,2449264,768448,Average,Mid-Level,Developer,Udupi,Yes,Flexible Hours,Good,Permanent,Strong,2024-11-29,Ambiguous,Moderate,None,Neutral,Neutral,441,Moderate,2,4,4,82,3,Stable,5,1087808,Flexible Hours,Better,14,10,2,1,Google,Data Scientist,2042278,Limited,Saharanpur,Hybrid,2024-11-28,Offer 2,1,Work Environment,Yes,Yes,Available,Occasional,Neutral,527
Karawal Nagar,5,High,Analyst,Entry-Level,5,2352556,2831868,Diploma,"Java, Spring Boot",None,74,1,Day,No,Remote,TCS,Banking,Neutral,2,Low,2857482,909171,Average,Senior-Level,Team Lead,Surendranagar Dudhrej,Yes,Flexible Hours,Good,Contract,Strong,2024-12-04,Ambiguous,Low,None,Positive,Neutral,130,Moderate,8,5,1,90,5,Volatile,0,555948,Stock Options,Similar,36,2,3,1,None,Software Engineer,745835,Limited,Mathura,Offline,2024-12-02,Offer 1,1,Work Environment,No,No,Available,Occasional,Positive,888
Burhanpur,43,Medium,Project Manager,Entry-Level,12,2121189,1202267,Master's Degree,"Data Analysis, Excel",PMP,77,3,Flexible,Yes,Remote,TCS,Consulting,Positive,9,Medium,3293109,943583,Average,Senior-Level,Developer,Thiruvananthapuram,No,Transport Allowance,Limited,Permanent,Strong,2024-12-12,Ambiguous,High,None,Negative,Positive,416,High,3,9,5,79,5,Volatile,5,1433402,Stock Options,Similar,34,10,5,1,Microsoft,None,3025150,Moderate,Tumkur,Hybrid,2024-12-04,Offer 2,5,Growth,Yes,No,Not Available,Rare,Negative,586
Bidhannagar,8,High,Analyst,Mid-Level,12,1801650,2380417,Bachelor's Degree,"Python, SQL, ML",None,40,0,Day,No,Offline,Wipro,Banking,Negative,9,High,664320,484516,Above Average,Senior-Level,Team Lead,Gurgaon,No,Flexible Hours,Limited,Contract,Weak,2024-12-01,Ambiguous,Moderate,High,Neutral,Neutral,829,High,1,1,4,80,5,Stable,2,562250,Flexible Hours,Better,25,6,3,2,None,Data Scientist,1039327,Limited,Gaya,Hybrid,2024-11-24,Offer 1,2,Work Environment,No,No,Not Available,Rare,Positive,959
Ranchi,20,Low,Project Manager,Senior-Level,2,1180133,557054,Bachelor's Degree,"Java, Spring Boot",AWS Certified,65,2,Flexible,No,Remote,Cognizant,Consulting,Neutral,6,Low,3034816,545479,Average,Senior-Level,Architect,Ambarnath,No,Transport Allowance,Limited,Contract,Weak,2024-11-20,Clear,Low,High,Positive,Negative,791,High,10,4,4,60,2,Stable,4,801924,Flexible Hours,Similar,21,5,5,5,Amazon,Software Engineer,1007903,Excellent,Hazaribagh,Remote,2024-11-20,Offer 1,1,Salary,No,No,Not Available,Occasional,Neutral,751
Faridabad,5,Low,Software Engineer,Mid-Level,2,1206128,2329079,Bachelor's Degree,"Python, SQL, ML",AWS Certified,43,1,Day,Yes,Hybrid,Infosys,Consulting,Neutral,10,Medium,662871,104823,Average,Mid-Level,Architect,Aizawl,No,Flexible Hours,Good,Permanent,Moderate,2024-12-19,Clear,Moderate,None,Negative,Neutral,731,High,10,4,5,85,5,Stable,3,1920882,Health Insurance,Similar,35,10,2,4,Microsoft,Software Engineer,1670661,Moderate,Visakhapatnam,Remote,2024-11-25,Offer 2,1,Work Environment,No,No,Not Available,Rare,Positive,742
Hindupur,14,Medium,Project Manager,Entry-Level,8,2393609,629924,Diploma,"Python, SQL, ML",PMP,15,0,Night,No,Offline,Cognizant,Consulting,Positive,9,Low,509638,751344,Above Average,Entry-Level,Developer,Durg,No,Health Insurance,Good,Permanent,Weak,2024-12-10,Ambiguous,Low,Low,Neutral,Neutral,512,High,4,5,1,96,2,Stable,4,3420249,Flexible Hours,Better,18,6,2,1,Google,Software Engineer,3591924,Moderate,Pallavaram,Hybrid,2024-11-23,Offer 2,2,Salary,Yes,No,Available,Frequent,Neutral,882
Hubli–Dharwad,30,Low,Software Engineer,Entry-Level,7,1663063,1431331,Bachelor's Degree,"Python, SQL, ML",PMP,77,4,Flexible,No,Hybrid,HCL,Banking,Positive,10,Low,1447787,780584,Above Average,Senior-Level,Architect,Shahjahanpur,No,Transport Allowance,Limited,Contract,Strong,2024-11-27,Clear,Moderate,None,Neutral,Positive,883,Moderate,10,8,5,86,3,Stable,0,3182480,Health Insurance,Similar,17,4,3,2,Microsoft,None,2152779,Excellent,Amritsar,Offline,2024-11-26,Offer 2,3,Salary,No,Yes,Available,Occasional,Negative,613
Kadapa,19,Medium,Analyst,Mid-Level,2,766677,1256378,Master's Degree,"AWS, DevOps",PMP,48,3,Day,No,Hybrid,Wipro,Consulting,Positive,8,Low,3485915,586656,Average,Mid-Level,Architect,Motihari,No,Flexible Hours,Limited,Contract,Moderate,2024-12-03,Clear,High,High,Neutral,Positive,431,Low,2,8,1,53,5,Volatile,5,2302501,Stock Options,Similar,20,8,1,2,None,Data Scientist,996813,Excellent,Faridabad,Hybrid,2024-11-24,Offer 1,4,Growth,Yes,No,Not Available,Occasional,Negative,926
Gorakhpur,50,Medium,Software Engineer,Mid-Level,17,565574,1225707,Bachelor's Degree,"Data Analysis, Excel",None,74,3,Night,No,Hybrid,TCS,Banking,Negative,9,High,2781327,362224,Average,Mid-Level,Developer,Sagar,Yes,Flexible Hours,Limited,Contract,Strong,2024-11-30,Ambiguous,Moderate,Low,Neutral,Neutral,353,Low,6,5,5,72,2,Stable,4,3816275,Health Insurance,Similar,11,3,5,2,Google,None,2880346,Moderate,Ghaziabad,Offline,2024-11-25,Offer 2,2,Work Environment,Yes,No,Not Available,Occasional,Negative,668
Mangalore,48,Medium,Consultant,Mid-Level,6,339825,700997,Diploma,"AWS, DevOps",AWS Certified,37,4,Flexible,Yes,Offline,Cognizant,Banking,Neutral,2,Medium,3463700,712489,Above Average,Senior-Level,Team Lead,Maheshtala,Yes,Transport Allowance,Limited,Permanent,Moderate,2024-11-26,Ambiguous,Low,High,Neutral,Positive,215,Low,2,3,4,96,2,Volatile,3,690045,Health Insurance,Better,39,3,4,1,None,None,3423230,Limited,Deoghar,Remote,2024-11-24,Offer 2,2,Growth,Yes,No,Available,Frequent,Positive,692
Coimbatore,36,Medium,Project Manager,Senior-Level,17,415529,2642494,Master's Degree,"Java, Spring Boot",PMP,72,0,Day,No,Offline,Cognizant,IT Services,Neutral,8,Medium,651210,595845,Average,Senior-Level,Team Lead,Berhampur,No,Flexible Hours,Good,Permanent,Moderate,2024-11-30,Ambiguous,Moderate,Moderate,Positive,Positive,454,High,10,3,4,58,3,Stable,2,3481236,Flexible Hours,Similar,36,6,5,4,Microsoft,Software Engineer,882334,Limited,Kota,Offline,2024-11-24,Offer 2,4,Growth,No,Yes,Not Available,Occasional,Negative,999
Akola,29,Medium,Software Engineer,Mid-Level,3,1859216,1121842,Diploma,"Java, Spring Boot",AWS Certified,68,3,Day,No,Remote,Infosys,IT Services,Neutral,10,Medium,1802029,236474,Below Average,Senior-Level,Team Lead,Udaipur,Yes,Transport Allowance,Limited,Permanent,Weak,2024-12-10,Clear,Low,None,Positive,Negative,710,Low,2,6,3,61,2,Volatile,1,2489089,Health Insurance,Better,22,1,1,2,None,Data Scientist,2769055,Excellent,Solapur,Remote,2024-11-29,Offer 1,1,Work Environment,Yes,Yes,Not Available,Rare,Negative,913
Malda,7,High,Project Manager,Senior-Level,19,2445777,404550,Master's Degree,"Java, Spring Boot",Scrum Master,57,4,Day,Yes,Hybrid,Wipro,Banking,Positive,1,High,2771487,350906,Average,Entry-Level,Architect,Bhiwani,Yes,Transport Allowance,Good,Contract,Moderate,2024-11-23,Ambiguous,Moderate,None,Neutral,Positive,282,Moderate,5,1,2,66,5,Volatile,1,3786705,Flexible Hours,Similar,28,3,3,1,Microsoft,Data Scientist,2917869,Excellent,Kollam,Remote,2024-11-23,Offer 2,4,Salary,No,No,Available,Frequent,Positive,960
Jorhat,25,Low,Analyst,Entry-Level,1,1695536,2765674,Master's Degree,"AWS, DevOps",AWS Certified,20,1,Night,Yes,Remote,HCL,Consulting,Neutral,8,High,1719983,713266,Average,Senior-Level,Architect,Latur,No,Flexible Hours,Limited,Permanent,Weak,2024-12-01,Clear,Low,High,Neutral,Positive,190,Low,8,8,2,66,2,Stable,5,3874524,Flexible Hours,Better,18,7,5,1,Amazon,Data Scientist,3723919,Excellent,Haridwar,Remote,2024-12-03,Offer 2,5,Salary,No,Yes,Available,Occasional,Neutral,861
Hindupur,31,Low,Software Engineer,Mid-Level,11,2490436,2214953,Bachelor's Degree,"Data Analysis, Excel",AWS Certified,55,1,Day,Yes,Remote,Infosys,Banking,Negative,7,High,3239653,787858,Average,Entry-Level,Team Lead,Dehri,Yes,Flexible Hours,Good,Contract,Weak,2024-11-30,Clear,Low,None,Negative,Positive,982,Low,3,9,2,96,1,Stable,5,2301425,Health Insurance,Worse,39,7,2,1,None,Data Scientist,2278941,Excellent,Miryalaguda,Remote,2024-11-25,Offer 2,5,Growth,Yes,No,Not Available,Frequent,Negative,663
Patna,25,High,Software Engineer,Entry-Level,20,1174912,436253,Master's Degree,"Java, Spring Boot",PMP,56,2,Night,Yes,Offline,Wipro,Banking,Negative,7,High,2128797,802835,Below Average,Mid-Level,Developer,Pali,Yes,Flexible Hours,Excellent,Contract,Moderate,2024-12-04,Ambiguous,Low,None,Positive,Neutral,751,Low,7,8,5,63,1,Stable,0,3747297,Stock Options,Similar,46,9,5,2,Microsoft,Data Scientist,2565539,Moderate,Maheshtala,Remote,2024-11-23,Offer 2,3,Salary,No,Yes,Not Available,Rare,Negative,996
Ratlam,4,Medium,Analyst,Senior-Level,14,1047341,2621128,Master's Degree,"Java, Spring Boot",Scrum Master,84,5,Flexible,No,Offline,TCS,IT Services,Negative,4,Low,809811,886154,Average,Entry-Level,Developer,Bareilly,Yes,Transport Allowance,Good,Permanent,Moderate,2024-12-02,Ambiguous,High,None,Neutral,Negative,687,Low,8,3,2,95,4,Volatile,2,3956879,Flexible Hours,Better,10,4,3,4,Google,None,3268825,Moderate,Mysore,Hybrid,2024-12-04,Offer 1,5,Salary,Yes,Yes,Not Available,Occasional,Neutral,621
Faridabad,50,Medium,Consultant,Entry-Level,18,1249701,2575195,Bachelor's Degree,"Data Analysis, Excel",PMP,79,5,Flexible,Yes,Remote,Wipro,Consulting,Negative,7,Medium,1577215,536860,Above Average,Entry-Level,Developer,Kamarhati,Yes,Health Insurance,Excellent,Permanent,Strong,2024-12-13,Ambiguous,Moderate,Moderate,Neutral,Neutral,297,Low,10,6,5,82,4,Volatile,2,505661,Health Insurance,Better,31,5,1,2,Microsoft,Data Scientist,3893587,Limited,Ballia,Offline,2024-11-26,Offer 1,3,Salary,Yes,Yes,Not Available,Frequent,Negative,982
Bahraich,34,High,Software Engineer,Entry-Level,7,2326667,1830604,Bachelor's Degree,"Python, SQL, ML",AWS Certified,60,5,Flexible,No,Remote,Cognizant,Banking,Neutral,9,Low,1735647,976506,Below Average,Mid-Level,Team Lead,Guntakal,No,Flexible Hours,Excellent,Contract,Weak,2024-12-05,Ambiguous,Low,High,Negative,Positive,294,High,3,7,2,84,2,Volatile,5,3431546,Health Insurance,Better,11,7,2,4,Microsoft,None,811329,Limited,Sultan Pur Majra,Hybrid,2024-11-25,Offer 2,3,Salary,Yes,Yes,Available,Rare,Neutral,583
Baranagar,4,Low,Project Manager,Senior-Level,9,2103034,1337585,Bachelor's Degree,"Data Analysis, Excel",None,69,3,Flexible,No,Remote,Cognizant,Banking,Neutral,3,High,686497,813423,Above Average,Entry-Level,Developer,Coimbatore,No,Flexible Hours,Excellent,Contract,Moderate,2024-12-10,Clear,High,None,Negative,Negative,541,Moderate,5,7,4,74,4,Stable,3,2992741,Health Insurance,Worse,21,9,5,3,Microsoft,Software Engineer,2973554,Moderate,Suryapet,Hybrid,2024-11-21,Offer 1,2,Growth,No,No,Not Available,Rare,Negative,776
Raipur,31,Medium,Analyst,Senior-Level,10,1012963,1845965,Master's Degree,"Data Analysis, Excel",AWS Certified,50,4,Flexible,No,Offline,HCL,IT Services,Neutral,8,Low,2014240,791154,Average,Mid-Level,Architect,Tiruppur,No,Transport Allowance,Limited,Permanent,Moderate,2024-12-10,Clear,Low,Low,Neutral,Negative,836,High,9,7,4,64,5,Stable,2,1598221,Flexible Hours,Better,14,6,4,3,None,Software Engineer,3180266,Limited,Mira-Bhayandar,Remote,2024-12-01,Offer 1,3,Growth,Yes,Yes,Not Available,Rare,Negative,929
Karaikudi,6,High,Consultant,Entry-Level,19,902190,801748,Bachelor's Degree,"Python, SQL, ML",Scrum Master,73,0,Day,No,Offline,Wipro,Consulting,Positive,8,Medium,1342475,819085,Above Average,Senior-Level,Team Lead,Howrah,Yes,Health Insurance,Excellent,Permanent,Weak,2024-11-22,Clear,Moderate,Low,Positive,Neutral,462,Moderate,1,1,3,92,4,Stable,1,1288753,Health Insurance,Similar,38,3,4,5,Google,None,516395,Moderate,Bardhaman,Hybrid,2024-12-02,Offer 2,1,Work Environment,No,Yes,Available,Occasional,Neutral,820
Udupi,43,High,Analyst,Entry-Level,1,683530,2216121,Diploma,"Data Analysis, Excel",None,46,2,Night,No,Offline,Infosys,Consulting,Neutral,8,High,2759033,964083,Average,Senior-Level,Architect,Guwahati,Yes,Transport Allowance,Limited,Permanent,Weak,2024-12-07,Ambiguous,High,High,Neutral,Negative,72,Low,9,3,5,68,1,Volatile,4,3170581,Health Insurance,Similar,21,2,4,2,None,Software Engineer,3838512,Excellent,Thiruvananthapuram,Offline,2024-11-29,Offer 2,3,Work Environment,Yes,Yes,Not Available,Occasional,Positive,888
Tiruchirappalli,31,Low,Consultant,Senior-Level,12,2010140,2797731,Bachelor's Degree,"Data Analysis, Excel",PMP,43,3,Day,No,Offline,Infosys,Consulting,Positive,2,Low,2785019,629074,Above Average,Mid-Level,Team Lead,Alappuzha,Yes,Flexible Hours,Limited,Contract,Moderate,2024-11-29,Clear,Low,Moderate,Positive,Positive,388,High,8,9,4,54,3,Stable,1,3733908,Stock Options,Worse,46,1,5,2,Google,None,2814975,Moderate,Bathinda,Remote,2024-12-02,Offer 2,2,Salary,Yes,Yes,Not Available,Rare,Negative,556
Surat,32,High,Software Engineer,Senior-Level,16,2145252,1537857,Bachelor's Degree,"Data Analysis, Excel",Scrum Master,16,5,Night,No,Hybrid,Cognizant,Consulting,Positive,6,High,1261084,368235,Above Average,Entry-Level,Team Lead,Mangalore,No,Transport Allowance,Limited,Permanent,Moderate,2024-11-26,Clear,Low,None,Positive,Positive,843,Moderate,2,1,4,53,5,Stable,1,882202,Stock Options,Better,15,9,5,3,Microsoft,Software Engineer,874933,Moderate,Morena,Offline,2024-11-23,Offer 2,5,Work Environment,No,Yes,Available,Frequent,Positive,932
Aurangabad,24,Low,Consultant,Senior-Level,8,1233450,2706704,Diploma,"Python, SQL, ML",Scrum Master,65,0,Day,No,Offline,Infosys,Banking,Negative,5,Medium,1382734,974673,Above Average,Senior-Level,Developer,Ahmedabad,No,Flexible Hours,Limited,Permanent,Moderate,2024-12-10,Clear,Low,None,Positive,Positive,920,High,5,2,1,80,3,Volatile,3,3351204,Flexible Hours,Worse,33,6,5,1,Amazon,Software Engineer,3841411,Limited,Amroha,Remote,2024-11-24,Offer 1,1,Work Environment,Yes,Yes,Available,Rare,Positive,825
Morbi,30,Medium,Software Engineer,Senior-Level,18,1575145,2300504,Master's Degree,"Java, Spring Boot",AWS Certified,15,1,Day,Yes,Remote,Cognizant,Consulting,Negative,7,High,3408522,278774,Average,Senior-Level,Team Lead,Udupi,Yes,Health Insurance,Good,Contract,Moderate,2024-11-27,Ambiguous,High,None,Neutral,Negative,608,Moderate,6,5,2,63,4,Stable,2,3848291,Health Insurance,Better,16,2,4,2,None,None,1630285,Limited,Kollam,Hybrid,2024-11-24,Offer 2,2,Work Environment,Yes,Yes,Available,Occasional,Neutral,761
Srikakulam,3,Low,Project Manager,Mid-Level,6,1419668,942810,Diploma,"Data Analysis, Excel",Scrum Master,39,2,Day,No,Hybrid,HCL,Banking,Negative,2,Medium,2654927,480719,Average,Mid-Level,Architect,Jaunpur,No,Transport Allowance,Good,Permanent,Strong,2024-11-24,Clear,Low,High,Positive,Negative,178,Moderate,3,2,5,93,3,Volatile,3,2573999,Flexible Hours,Better,29,5,5,5,Google,None,1761413,Excellent,Bhilai,Remote,2024-11-24,Offer 1,2,Growth,Yes,Yes,Available,Rare,Negative,877
Tadepalligudem,12,Low,Software Engineer,Senior-Level,6,320368,2283580,Master's Degree,"Python, SQL, ML",AWS Certified,80,0,Flexible,No,Hybrid,Wipro,IT Services,Negative,8,High,2147695,869835,Above Average,Entry-Level,Team Lead,Kanpur,No,Health Insurance,Excellent,Permanent,Weak,2024-12-15,Clear,Moderate,Low,Positive,Negative,335,Low,6,5,5,90,4,Stable,0,1014848,Flexible Hours,Similar,40,5,1,4,Google,None,1518043,Limited,Chapra,Remote,2024-11-27,Offer 2,3,Growth,Yes,No,Not Available,Frequent,Negative,746
Latur,24,High,Project Manager,Mid-Level,17,2187148,1994441,Diploma,"Python, SQL, ML",None,40,3,Flexible,Yes,Remote,Cognizant,Banking,Neutral,3,Low,1088340,262506,Above Average,Senior-Level,Architect,Ongole,Yes,Flexible Hours,Limited,Contract,Weak,2024-12-13,Clear,Moderate,None,Neutral,Negative,940,Moderate,9,3,2,76,5,Stable,5,1010709,Flexible Hours,Similar,30,3,3,4,Google,Data Scientist,1884670,Moderate,Kadapa,Remote,2024-11-29,Offer 1,2,Growth,Yes,No,Available,Rare,Negative,955
Korba,43,Medium,Consultant,Senior-Level,8,671581,1825655,Bachelor's Degree,"Java, Spring Boot",AWS Certified,20,4,Flexible,Yes,Remote,TCS,Banking,Negative,3,High,624155,387335,Above Average,Senior-Level,Developer,Cuttack,No,Flexible Hours,Limited,Permanent,Weak,2024-12-14,Clear,High,Moderate,Negative,Positive,470,Low,10,1,3,52,1,Volatile,5,3852123,Flexible Hours,Worse,45,5,3,2,Google,Software Engineer,1182806,Excellent,Bahraich,Offline,2024-12-01,Offer 1,2,Work Environment,Yes,Yes,Not Available,Occasional,Neutral,686
Udupi,23,Low,Analyst,Mid-Level,11,1224901,1997837,Master's Degree,"Data Analysis, Excel",None,62,4,Day,Yes,Remote,Wipro,IT Services,Positive,5,Medium,3042564,878762,Average,Senior-Level,Developer,Raiganj,No,Health Insurance,Limited,Permanent,Strong,2024-12-08,Ambiguous,Moderate,High,Negative,Negative,247,Low,10,7,2,51,3,Stable,5,2594513,Health Insurance,Worse,13,9,4,1,Google,Data Scientist,1156131,Limited,Aligarh,Remote,2024-11-29,Offer 2,5,Growth,Yes,Yes,Available,Occasional,Neutral,677
Rajpur Sonarpur,2,High,Software Engineer,Entry-Level,15,312475,1187534,Diploma,"Java, Spring Boot",PMP,52,2,Day,Yes,Offline,Cognizant,Consulting,Negative,6,High,1206097,430321,Below Average,Mid-Level,Team Lead,Thiruvananthapuram,Yes,Flexible Hours,Excellent,Permanent,Moderate,2024-11-22,Clear,Low,Low,Negative,Negative,720,Moderate,9,10,1,99,5,Volatile,4,1527340,Flexible Hours,Worse,33,4,4,4,Amazon,Software Engineer,2831132,Limited,Udupi,Hybrid,2024-11-21,Offer 2,3,Salary,No,No,Not Available,Frequent,Positive,768
Mira-Bhayandar,12,High,Project Manager,Mid-Level,13,1138833,464871,Bachelor's Degree,"Python, SQL, ML",AWS Certified,28,1,Day,No,Remote,TCS,Banking,Positive,9,High,2915331,314102,Below Average,Senior-Level,Team Lead,Bhagalpur,Yes,Flexible Hours,Limited,Permanent,Weak,2024-12-01,Clear,Moderate,None,Positive,Neutral,68,High,8,6,4,83,4,Volatile,0,591327,Stock Options,Similar,35,6,2,2,Microsoft,None,555550,Excellent,Bhubaneswar,Offline,2024-12-04,Offer 2,2,Work Environment,No,No,Available,Rare,Positive,567
Jalandhar,19,High,Consultant,Entry-Level,18,353051,1080790,Diploma,"Data Analysis, Excel",None,23,2,Flexible,Yes,Offline,Cognizant,Consulting,Neutral,4,Low,507974,767639,Above Average,Mid-Level,Developer,Guntur,No,Health Insurance,Limited,Permanent,Weak,2024-12-18,Ambiguous,High,Low,Negative,Negative,368,Moderate,3,3,4,52,2,Stable,1,3632401,Health Insurance,Worse,32,9,5,5,None,Data Scientist,3405702,Limited,Coimbatore,Hybrid,2024-11-23,Offer 1,1,Salary,Yes,Yes,Not Available,Rare,Neutral,675
Nagercoil,26,High,Analyst,Senior-Level,5,413588,1844575,Bachelor's Degree,"AWS, DevOps",PMP,17,0,Flexible,No,Offline,Wipro,IT Services,Negative,2,Medium,1600208,928262,Below Average,Entry-Level,Team Lead,Jaunpur,Yes,Flexible Hours,Good,Permanent,Moderate,2024-12-11,Ambiguous,Low,Moderate,Positive,Positive,339,High,10,3,4,100,4,Stable,0,983287,Flexible Hours,Worse,28,2,2,4,None,None,601188,Moderate,Tiruvottiyur,Hybrid,2024-11-27,Offer 1,4,Salary,Yes,No,Not Available,Frequent,Neutral,999
Motihari,39,Medium,Project Manager,Senior-Level,18,2337339,2418941,Master's Degree,"Data Analysis, Excel",PMP,47,4,Day,Yes,Remote,Cognizant,IT Services,Negative,1,Medium,1720298,403386,Below Average,Entry-Level,Developer,Malegaon,Yes,Health Insurance,Good,Contract,Strong,2024-11-21,Ambiguous,Moderate,None,Negative,Negative,960,Low,9,10,1,96,5,Stable,3,1656408,Flexible Hours,Worse,18,1,5,4,Amazon,None,1323117,Limited,Sagar,Hybrid,2024-12-04,Offer 2,5,Work Environment,No,No,Not Available,Occasional,Negative,726
Pali,32,Medium,Analyst,Entry-Level,15,1928044,1701216,Master's Degree,"Data Analysis, Excel",Scrum Master,76,1,Flexible,Yes,Offline,Infosys,Banking,Negative,9,High,2106464,465901,Above Average,Mid-Level,Developer,Gwalior,Yes,Flexible Hours,Limited,Contract,Weak,2024-12-06,Clear,Low,Low,Positive,Negative,701,Low,9,3,1,52,4,Stable,2,3050396,Stock Options,Better,17,8,4,2,Microsoft,None,2176089,Moderate,Saharsa,Hybrid,2024-12-04,Offer 2,3,Salary,No,No,Available,Rare,Negative,793
Alappuzha,16,High,Consultant,Mid-Level,16,859996,2927366,Bachelor's Degree,"AWS, DevOps",None,54,4,Night,No,Remote,TCS,Banking,Neutral,9,Low,1166920,815638,Average,Mid-Level,Team Lead,Serampore,No,Flexible Hours,Excellent,Permanent,Moderate,2024-11-23,Clear,Low,Low,Negative,Negative,310,High,2,3,5,52,5,Volatile,0,3441320,Stock Options,Similar,24,7,3,4,None,Software Engineer,2981741,Moderate,Ambattur,Remote,2024-11-26,Offer 2,5,Salary,No,No,Not Available,Occasional,Neutral,588
Jalna,44,High,Software Engineer,Entry-Level,3,2089020,2074787,Bachelor's Degree,"Data Analysis, Excel",None,85,4,Day,Yes,Hybrid,HCL,IT Services,Negative,6,High,1230517,160581,Average,Entry-Level,Team Lead,Bhiwandi,No,Health Insurance,Limited,Permanent,Weak,2024-12-13,Clear,High,Moderate,Negative,Positive,988,Low,4,5,3,75,4,Stable,5,1667664,Flexible Hours,Better,11,7,3,4,Amazon,None,3814467,Moderate,Dewas,Hybrid,2024-12-04,Offer 2,2,Growth,Yes,Yes,Available,Occasional,Negative,867
Gurgaon,38,High,Analyst,Mid-Level,15,1598341,1424819,Bachelor's Degree,"Java, Spring Boot",Scrum Master,80,4,Day,Yes,Remote,Infosys,Banking,Negative,7,Low,555799,285937,Above Average,Senior-Level,Architect,Hajipur,Yes,Health Insurance,Limited,Permanent,Weak,2024-12-08,Ambiguous,Low,High,Neutral,Neutral,594,Low,4,10,1,74,1,Volatile,2,1234030,Stock Options,Better,15,10,1,2,Microsoft,Data Scientist,3890313,Excellent,Gandhinagar,Offline,2024-11-23,Offer 1,3,Salary,Yes,No,Not Available,Occasional,Positive,731
Udaipur,15,High,Analyst,Mid-Level,16,453255,844615,Bachelor's Degree,"Java, Spring Boot",Scrum Master,52,3,Day,No,Hybrid,HCL,Consulting,Neutral,9,Medium,2402511,835168,Above Average,Mid-Level,Team Lead,Hazaribagh,No,Flexible Hours,Good,Permanent,Moderate,2024-11-24,Ambiguous,High,None,Positive,Positive,902,Moderate,5,7,4,93,1,Stable,5,2659455,Stock Options,Similar,44,7,1,4,Microsoft,Software Engineer,797578,Moderate,Berhampore,Offline,2024-11-28,Offer 1,5,Salary,No,No,Not Available,Frequent,Neutral,653
Amravati,7,Low,Consultant,Senior-Level,2,1139480,1174444,Bachelor's Degree,"Data Analysis, Excel",Scrum Master,48,2,Day,No,Remote,Cognizant,Banking,Positive,1,Low,542690,610519,Average,Mid-Level,Developer,Kolkata,No,Flexible Hours,Limited,Permanent,Strong,2024-12-11,Clear,Low,Moderate,Positive,Negative,698,High,9,2,1,86,3,Volatile,1,3465366,Health Insurance,Worse,31,7,4,1,None,Software Engineer,1467245,Limited,Satara,Offline,2024-12-02,Offer 1,1,Work Environment,Yes,Yes,Not Available,Rare,Positive,903
Eluru,22,High,Project Manager,Mid-Level,19,2342754,859040,Bachelor's Degree,"Java, Spring Boot",AWS Certified,86,5,Day,Yes,Remote,Infosys,Banking,Negative,5,Medium,2061329,852897,Average,Mid-Level,Developer,Bokaro,No,Health Insurance,Excellent,Contract,Moderate,2024-12-15,Ambiguous,High,Moderate,Neutral,Negative,406,Moderate,5,9,5,85,4,Volatile,5,3065578,Health Insurance,Better,18,9,1,5,None,Software Engineer,3878872,Limited,Khandwa,Hybrid,2024-11-21,Offer 1,2,Growth,No,No,Available,Frequent,Positive,657
Varanasi,44,Low,Software Engineer,Mid-Level,6,664759,420163,Diploma,"Python, SQL, ML",AWS Certified,76,5,Night,Yes,Remote,TCS,Banking,Neutral,8,Low,2893088,734320,Above Average,Entry-Level,Team Lead,Begusarai,No,Flexible Hours,Limited,Permanent,Moderate,2024-11-30,Clear,Low,Low,Neutral,Neutral,834,Moderate,8,1,3,82,3,Volatile,1,3631653,Flexible Hours,Similar,14,10,5,5,Google,None,3493444,Limited,Tezpur,Remote,2024-11-30,Offer 2,3,Work Environment,Yes,No,Not Available,Rare,Negative,906
