Candidate_Location,Distance_From_Job_Location (km),Cost_of_Living_Area,Current_Role,Seniority_Level,Experience_Years,Current_Salary (INR),Expected_Salary (INR),Education_Qualification,Relevant_Skills,Certifications,Notice_Period (Days),Planned_Leaves,Shift_Preference,Service_Bond_Acceptance,Work_Mode_Preference,Current_Company_Name,Current_Company_Industry,Current_Company_Brand_Perception,Job_Hopping_History (Years),Technology_Fit,Offered_Salary (INR),Salary_Difference (INR),Salary_Competitiveness,Offered_Position_Level,Offered_Job_Role,Job_Location,Relocation_Required,Benefits_Package,Career_Growth_Opportunities,Job_Security,Offer_Company_Brand_Value,Offer_Validity_Date,Offer_Letter_Clarity,Expected_Joining_Score
Mumbai,41,High,Consultant,Entry-Level,12,609061,2145515,Diploma,"JavaScript, React",AWS Certified,5,1,Flexible,No,Hybrid,TCS,Healthcare,Neutral,4,Low,909080,483508,Below Average,Entry-Level,Manager,Kolkata,Yes,Stock Options,Moderate,Stable,Moderate,2025-01-10 17:53:29.688940,Clear,247.30266666666665
Darbhanga,23,High,Analyst,Lead,3,792130,1637222,Bachelor's Degree,"JavaScript, React",Google Cloud Certified,34,5,Night,Yes,Offline,Accenture,Retail,Positive,6,Low,1879924,254850,Below Average,Entry-Level,Data Analyst,Chennai,No,Health Insurance,Moderate,Strong,Moderate,2024-12-08 17:53:29.688940,Clear,943.6641333333333
Munger,30,Low,Project Manager,Senior-Level,4,425154,1434972,PhD,"AWS, Docker, Kubernetes",PMP,13,2,Night,Yes,Offline,Accenture,IT Services,Negative,1,Low,2666252,454916,Average,Entry-Level,Team Lead,Mumbai,No,Stock Options,Moderate,Stable,High,2024-12-20 17:53:29.688940,Clear,582.8750666666667
Pune,30,High,Data Scientist,Senior-Level,1,1631650,2095305,PhD,"C++, Algorithms",Scrum Master,63,14,Day,No,Offline,Accenture,Healthcare,Negative,2,Low,2313462,449308,Below Average,Lead,Developer,Hyderabad,No,Stock Options,Moderate,Weak,High,2024-12-25 17:53:29.688940,Clear,896.1154
Mumbai,29,Medium,Consultant,Entry-Level,5,903317,655329,PhD,"Java, Spring Boot",Scrum Master,8,7,Flexible,No,Hybrid,Infosys,Banking,Negative,2,Moderate,2106472,227236,Average,Mid-Level,Developer,Madanapalle,No,Health Insurance,Excellent,Weak,High,2025-01-16 17:53:29.688940,Clear,964.2157333333333
Madanapalle,30,High,Consultant,Senior-Level,12,796547,1507811,Diploma,"C++, Algorithms",Scrum Master,34,10,Flexible,Yes,Offline,Infosys,Consulting,Neutral,6,Low,1365492,176154,Average,Lead,Team Lead,Munger,Yes,Flexible Hours,Excellent,Strong,Moderate,2024-12-08 17:53:29.688940,Ambiguous,1000.0
Delhi,30,Low,Data Scientist,Mid-Level,9,1624358,2352928,Diploma,"JavaScript, React",AWS Certified,1,7,Night,No,Offline,Cognizant,Consulting,Negative,6,Moderate,726566,25819,Average,Mid-Level,Team Lead,Chennai,Yes,Stock Options,Limited,Weak,Low,2024-12-16 17:53:29.688940,Ambiguous,906.2188666666667
Darbhanga,32,High,Software Engineer,Mid-Level,2,1616444,2045994,Bachelor's Degree,"AWS, Docker, Kubernetes",Scrum Master,5,10,Day,Yes,Hybrid,Accenture,IT Services,Negative,5,High,864664,165661,Above Average,Senior-Level,Developer,Hyderabad,No,Health Insurance,Limited,Strong,High,2024-12-13 17:53:29.688940,Ambiguous,950.8221333333333
Munger,22,Low,Project Manager,Senior-Level,4,1347182,1629202,PhD,"C++, Algorithms",Scrum Master,24,10,Day,Yes,Remote,Cognizant,Retail,Neutral,0,Low,2837349,466684,Below Average,Entry-Level,Team Lead,Bangalore,Yes,Stock Options,Excellent,Weak,Low,2024-12-15 17:53:29.688940,Clear,926.5783
Darbhanga,36,Low,Data Scientist,Entry-Level,10,365738,2458966,Bachelor's Degree,"JavaScript, React",None,72,0,Night,Yes,Offline,TCS,IT Services,Negative,9,High,2727082,44041,Above Average,Lead,Developer,Darbhanga,Yes,Flexible Hours,Limited,Stable,Moderate,2024-12-15 17:53:29.688940,Ambiguous,663.9027333333333
Bangalore,7,Medium,Consultant,Mid-Level,2,1447281,2370560,PhD,"JavaScript, React",None,49,1,Night,Yes,Remote,Cognizant,Retail,Positive,7,Moderate,1761061,92339,Above Average,Entry-Level,Manager,Kolkata,Yes,Health Insurance,Moderate,Stable,High,2024-12-31 17:53:29.688940,Clear,798.7020333333334
Delhi,6,Medium,Project Manager,Lead,14,433099,2176091,Master's Degree,"JavaScript, React",Scrum Master,6,3,Flexible,No,Offline,Accenture,IT Services,Neutral,9,Low,616098,441500,Above Average,Senior-Level,Developer,Mumbai,Yes,Health Insurance,Limited,Weak,Moderate,2025-01-25 17:53:29.688940,Clear,270.5366
Pune,37,High,Project Manager,Lead,8,1494455,402607,Diploma,"C++, Algorithms",Scrum Master,62,0,Night,Yes,Offline,Infosys,IT Services,Neutral,9,Low,2330844,484810,Above Average,Mid-Level,Data Analyst,Hyderabad,No,Flexible Hours,Limited,Strong,Low,2025-01-01 17:53:29.688940,Ambiguous,1000.0
Mumbai,46,Low,Software Engineer,Mid-Level,9,1442538,1392422,Bachelor's Degree,"Python, SQL, ML",None,27,2,Flexible,No,Offline,Cognizant,Consulting,Negative,3,High,1433009,252244,Above Average,Lead,Manager,Bangalore,Yes,Health Insurance,Limited,Weak,Moderate,2025-01-02 17:53:29.688940,Ambiguous,539.7669666666667
Mumbai,23,Low,Consultant,Mid-Level,3,363109,815242,Diploma,"AWS, Docker, Kubernetes",AWS Certified,1,3,Day,No,Hybrid,Cognizant,Retail,Positive,7,High,507341,310308,Below Average,Mid-Level,Data Analyst,Delhi,No,Stock Options,Excellent,Stable,High,2025-01-02 17:53:29.688940,Ambiguous,886.9113666666667
Mumbai,21,Medium,Analyst,Senior-Level,13,1914713,1180013,Diploma,"JavaScript, React",None,64,9,Flexible,Yes,Hybrid,Infosys,IT Services,Neutral,6,High,1891173,296664,Below Average,Senior-Level,Team Lead,Delhi,Yes,Flexible Hours,Limited,Weak,High,2025-01-15 17:53:29.688940,Clear,446.0391
Delhi,48,Medium,Software Engineer,Entry-Level,9,562322,679317,Master's Degree,"C++, Algorithms",None,58,2,Night,No,Offline,Infosys,Banking,Negative,0,Moderate,1302040,308336,Average,Lead,Team Lead,Pune,No,Flexible Hours,Moderate,Stable,Moderate,2025-01-16 17:53:29.688940,Clear,922.4013333333334
Madanapalle,37,High,Software Engineer,Senior-Level,6,1354393,2454896,Master's Degree,"Java, Spring Boot",None,23,4,Flexible,No,Offline,Accenture,Consulting,Negative,6,Moderate,2417705,275323,Below Average,Lead,Developer,Pune,No,Flexible Hours,Moderate,Stable,Moderate,2025-01-10 17:53:29.688940,Clear,592.5901666666666
Chennai,16,Low,Analyst,Entry-Level,6,793499,2490507,PhD,"AWS, Docker, Kubernetes",None,61,10,Flexible,No,Hybrid,TCS,Consulting,Neutral,3,Low,2978011,335823,Above Average,Senior-Level,Developer,Pune,No,Stock Options,Limited,Stable,High,2024-12-15 17:53:29.688940,Ambiguous,592.2670333333333
Hyderabad,7,Medium,Analyst,Lead,7,897009,603318,Master's Degree,"Java, Spring Boot",Google Cloud Certified,70,11,Night,No,Hybrid,Accenture,Consulting,Neutral,4,High,1489202,373446,Above Average,Senior-Level,Developer,Pune,No,Health Insurance,Moderate,Weak,Moderate,2025-01-22 17:53:29.688940,Ambiguous,741.6400666666667
Kolkata,47,High,Software Engineer,Lead,12,950050,499124,PhD,"Java, Spring Boot",PMP,37,9,Flexible,No,Remote,Cognizant,Consulting,Negative,5,Moderate,1292765,279392,Average,Senior-Level,Manager,Bangalore,No,Health Insurance,Limited,Weak,Moderate,2024-12-09 17:53:29.688940,Clear,698.0921666666667
Munger,30,Low,Project Manager,Entry-Level,5,828272,650898,Master's Degree,"C++, Algorithms",AWS Certified,61,6,Day,Yes,Hybrid,Accenture,IT Services,Neutral,4,Moderate,2076022,23146,Below Average,Entry-Level,Manager,Madanapalle,Yes,Flexible Hours,Limited,Stable,High,2024-12-25 17:53:29.688940,Clear,545.2007333333333
Madanapalle,39,Low,Data Scientist,Senior-Level,6,1674816,790999,Master's Degree,"Python, SQL, ML",AWS Certified,64,7,Flexible,No,Offline,Accenture,IT Services,Positive,1,Moderate,596329,171216,Below Average,Lead,Data Analyst,Darbhanga,No,Stock Options,Moderate,Stable,Moderate,2024-12-23 17:53:29.688940,Ambiguous,841.8776333333333
Pune,12,Medium,Data Scientist,Mid-Level,11,1173373,1933383,Bachelor's Degree,"C++, Algorithms",Scrum Master,50,7,Night,Yes,Hybrid,Infosys,Consulting,Positive,7,High,2619771,334018,Average,Mid-Level,Developer,Chennai,Yes,Stock Options,Excellent,Weak,Moderate,2025-01-04 17:53:29.688940,Clear,271.3257
Munger,40,High,Software Engineer,Entry-Level,1,1862002,779201,Master's Degree,"C++, Algorithms",Google Cloud Certified,51,10,Night,No,Remote,TCS,IT Services,Negative,7,Moderate,1035732,329684,Above Average,Lead,Data Analyst,Madanapalle,Yes,Stock Options,Moderate,Weak,High,2024-12-15 17:53:29.688940,Clear,779.5244
Mumbai,11,Medium,Project Manager,Senior-Level,3,1293276,464314,Bachelor's Degree,"AWS, Docker, Kubernetes",Scrum Master,73,1,Night,Yes,Remote,TCS,IT Services,Positive,4,Moderate,500306,171816,Above Average,Lead,Team Lead,Madanapalle,No,Flexible Hours,Limited,Strong,Low,2024-12-25 17:53:29.688940,Ambiguous,548.6768666666667
Darbhanga,40,High,Analyst,Lead,12,532359,1862241,Master's Degree,"C++, Algorithms",AWS Certified,62,0,Flexible,No,Offline,Accenture,Retail,Negative,4,High,2585447,176680,Above Average,Entry-Level,Data Analyst,Chennai,No,Health Insurance,Limited,Weak,Moderate,2025-01-15 17:53:29.688940,Clear,788.1815666666666
Pune,20,Low,Software Engineer,Mid-Level,9,1029438,1479042,Bachelor's Degree,"AWS, Docker, Kubernetes",AWS Certified,10,12,Day,No,Hybrid,Infosys,Banking,Neutral,6,Moderate,1817125,466843,Above Average,Mid-Level,Team Lead,Chennai,Yes,Stock Options,Moderate,Strong,Low,2025-01-18 17:53:29.688940,Clear,879.5708333333333
Munger,28,High,Consultant,Lead,12,1320090,516151,Diploma,"JavaScript, React",Scrum Master,47,13,Night,No,Remote,Infosys,Retail,Neutral,1,High,2825758,140058,Above Average,Mid-Level,Team Lead,Mumbai,Yes,Health Insurance,Moderate,Strong,Moderate,2024-12-26 17:53:29.688940,Clear,563.1919333333333
Mumbai,5,High,Project Manager,Entry-Level,5,934202,902777,PhD,"AWS, Docker, Kubernetes",PMP,53,5,Night,Yes,Remote,Cognizant,Healthcare,Negative,4,High,2930269,403821,Below Average,Lead,Team Lead,Hyderabad,No,Stock Options,Excellent,Weak,High,2025-01-08 17:53:29.688940,Ambiguous,1000.0
Munger,29,High,Consultant,Lead,5,724558,1722557,Master's Degree,"C++, Algorithms",Scrum Master,49,0,Day,Yes,Remote,HCL,Retail,Negative,0,Moderate,2159129,11327,Average,Lead,Data Analyst,Madanapalle,Yes,Stock Options,Limited,Stable,High,2025-01-08 17:53:29.688940,Ambiguous,934.9709666666666
Darbhanga,14,High,Consultant,Lead,8,1983190,948497,Bachelor's Degree,"JavaScript, React",PMP,73,5,Night,No,Offline,Cognizant,Banking,Neutral,3,High,1882686,44778,Average,Mid-Level,Team Lead,Madanapalle,No,Flexible Hours,Moderate,Weak,Moderate,2025-01-18 17:53:29.688940,Ambiguous,1000.0
Mumbai,20,High,Software Engineer,Entry-Level,11,1739814,1985084,Master's Degree,"JavaScript, React",PMP,37,12,Flexible,Yes,Remote,Cognizant,Banking,Negative,7,Low,2584318,162912,Below Average,Senior-Level,Data Analyst,Hyderabad,No,Flexible Hours,Moderate,Strong,Moderate,2025-01-24 17:53:29.688940,Clear,845.1439333333333
Chennai,20,Medium,Project Manager,Mid-Level,11,1356564,1059325,Bachelor's Degree,"Python, SQL, ML",None,85,6,Night,Yes,Hybrid,Cognizant,Retail,Positive,0,High,1551100,127725,Below Average,Mid-Level,Data Analyst,Mumbai,No,Flexible Hours,Excellent,Strong,Low,2024-12-28 17:53:29.688940,Ambiguous,982.7033333333334
Madanapalle,12,High,Consultant,Entry-Level,13,1342351,2215278,Bachelor's Degree,"C++, Algorithms",AWS Certified,87,8,Night,No,Offline,HCL,Retail,Positive,9,Low,2957790,91282,Below Average,Mid-Level,Team Lead,Munger,No,Health Insurance,Moderate,Strong,High,2025-01-05 17:53:29.688940,Ambiguous,720.5930000000001
Bangalore,33,High,Project Manager,Senior-Level,2,1380646,504304,Master's Degree,"Java, Spring Boot",None,7,9,Flexible,Yes,Hybrid,Infosys,Healthcare,Positive,0,Low,797679,211546,Above Average,Senior-Level,Manager,Darbhanga,Yes,Flexible Hours,Excellent,Stable,Low,2025-01-21 17:53:29.688940,Ambiguous,614.5893
Kolkata,43,Low,Data Scientist,Entry-Level,13,1446067,2169101,PhD,"C++, Algorithms",AWS Certified,5,14,Day,No,Hybrid,Infosys,Consulting,Neutral,3,High,841891,254912,Average,Senior-Level,Manager,Munger,Yes,Flexible Hours,Moderate,Weak,High,2024-12-12 17:53:29.688940,Clear,441.06303333333335
Delhi,32,High,Consultant,Entry-Level,7,323659,1052548,Bachelor's Degree,"Java, Spring Boot",None,67,9,Day,Yes,Remote,TCS,Banking,Neutral,9,Low,2161460,22192,Below Average,Lead,Team Lead,Hyderabad,No,Stock Options,Excellent,Weak,High,2024-12-27 17:53:29.688940,Clear,995.0486666666667
Kolkata,10,Low,Consultant,Mid-Level,9,900240,901437,Diploma,"Python, SQL, ML",PMP,68,0,Night,Yes,Offline,TCS,Consulting,Neutral,4,Low,1718608,238910,Below Average,Entry-Level,Data Analyst,Madanapalle,No,Flexible Hours,Limited,Stable,Low,2024-12-29 17:53:29.688940,Clear,816.2869333333333
Pune,20,Medium,Project Manager,Senior-Level,7,1607050,1285442,Master's Degree,"C++, Algorithms",None,5,6,Flexible,Yes,Offline,Accenture,Healthcare,Negative,8,Moderate,1015877,277080,Average,Senior-Level,Team Lead,Mumbai,Yes,Health Insurance,Limited,Stable,Low,2025-01-25 17:53:29.688940,Ambiguous,764.8625666666667
Kolkata,24,Medium,Data Scientist,Lead,12,1140210,2099859,Diploma,"Python, SQL, ML",Google Cloud Certified,31,3,Flexible,Yes,Hybrid,Accenture,IT Services,Neutral,4,High,2725496,260513,Below Average,Entry-Level,Developer,Pune,No,Flexible Hours,Excellent,Stable,High,2025-01-03 17:53:29.688940,Ambiguous,891.8498666666667
Mumbai,20,High,Consultant,Lead,5,398113,879466,Bachelor's Degree,"Java, Spring Boot",None,37,8,Day,No,Offline,Accenture,IT Services,Neutral,0,High,2376405,298256,Above Average,Lead,Manager,Munger,Yes,Health Insurance,Limited,Stable,Moderate,2025-01-19 17:53:29.688940,Ambiguous,185.2135
Chennai,11,Medium,Software Engineer,Lead,13,748929,675037,Bachelor's Degree,"AWS, Docker, Kubernetes",None,56,10,Day,Yes,Offline,TCS,Consulting,Positive,2,Low,1228582,207189,Below Average,Senior-Level,Team Lead,Bangalore,Yes,Flexible Hours,Limited,Weak,Moderate,2024-12-08 17:53:29.688940,Ambiguous,751.9527333333333
Bangalore,45,High,Project Manager,Lead,6,1371312,1322153,Master's Degree,"C++, Algorithms",None,83,3,Day,Yes,Offline,TCS,Retail,Neutral,3,High,2572220,410609,Below Average,Lead,Manager,Madanapalle,Yes,Flexible Hours,Moderate,Stable,Moderate,2024-12-20 17:53:29.688940,Clear,1000.0
Madanapalle,18,Medium,Project Manager,Mid-Level,4,1328311,1510999,PhD,"JavaScript, React",Google Cloud Certified,63,1,Flexible,No,Offline,Cognizant,Banking,Negative,6,High,1729347,372116,Below Average,Lead,Team Lead,Pune,Yes,Stock Options,Limited,Weak,High,2025-01-09 17:53:29.688940,Clear,468.6449
Madanapalle,47,High,Consultant,Senior-Level,14,1025704,1276396,Diploma,"JavaScript, React",AWS Certified,53,0,Flexible,No,Remote,Infosys,Consulting,Negative,1,Moderate,1072456,289042,Average,Entry-Level,Developer,Pune,No,Flexible Hours,Excellent,Stable,High,2025-01-15 17:53:29.688940,Ambiguous,1000.0
Darbhanga,30,High,Data Scientist,Mid-Level,12,1190624,774386,PhD,"Python, SQL, ML",None,13,6,Flexible,No,Hybrid,TCS,Retail,Positive,3,Moderate,635725,67945,Above Average,Mid-Level,Manager,Mumbai,No,Flexible Hours,Excellent,Stable,High,2024-12-13 17:53:29.688940,Ambiguous,1000.0
Delhi,30,Low,Consultant,Entry-Level,7,1550921,923453,Diploma,"AWS, Docker, Kubernetes",AWS Certified,63,11,Night,No,Hybrid,HCL,Healthcare,Positive,7,High,580905,492148,Below Average,Lead,Data Analyst,Bangalore,Yes,Flexible Hours,Limited,Stable,Moderate,2024-12-20 17:53:29.688940,Ambiguous,523.3634999999999
Munger,18,Low,Analyst,Senior-Level,1,1545147,1012357,PhD,"JavaScript, React",Scrum Master,49,6,Night,Yes,Offline,Cognizant,Retail,Negative,4,Moderate,2865474,171511,Above Average,Senior-Level,Team Lead,Bangalore,No,Flexible Hours,Excellent,Weak,Low,2024-12-21 17:53:29.688940,Clear,634.5158
Chennai,11,Low,Consultant,Senior-Level,4,1645846,918697,Master's Degree,"JavaScript, React",PMP,46,2,Day,Yes,Offline,HCL,Healthcare,Positive,5,High,1613002,306389,Above Average,Entry-Level,Developer,Delhi,Yes,Flexible Hours,Moderate,Strong,Moderate,2024-12-15 17:53:29.688940,Ambiguous,600.7667333333334
Munger,37,Low,Analyst,Lead,3,951022,617002,Diploma,"C++, Algorithms",Scrum Master,53,4,Day,Yes,Hybrid,HCL,Consulting,Positive,2,Moderate,2586418,308762,Above Average,Mid-Level,Developer,Delhi,No,Flexible Hours,Moderate,Stable,High,2024-12-10 17:53:29.688940,Clear,763.2139333333333
Bangalore,30,High,Software Engineer,Lead,13,1602910,1919605,Master's Degree,"JavaScript, React",Google Cloud Certified,18,9,Night,No,Hybrid,Infosys,IT Services,Negative,3,Low,2251755,306778,Above Average,Mid-Level,Manager,Delhi,No,Flexible Hours,Excellent,Weak,Moderate,2025-01-13 17:53:29.688940,Ambiguous,1000.0
Kolkata,49,Medium,Project Manager,Lead,4,1116084,1791704,PhD,"Java, Spring Boot",Google Cloud Certified,74,11,Night,No,Remote,HCL,Banking,Positive,8,Moderate,2261516,67194,Above Average,Entry-Level,Data Analyst,Darbhanga,No,Stock Options,Limited,Weak,High,2025-01-24 17:53:29.688940,Clear,1000.0
Madanapalle,24,High,Project Manager,Lead,1,829678,2410222,PhD,"Python, SQL, ML",AWS Certified,38,13,Night,Yes,Offline,HCL,Consulting,Negative,1,Low,2356471,207927,Average,Mid-Level,Data Analyst,Delhi,No,Health Insurance,Moderate,Strong,High,2024-12-19 17:53:29.688940,Clear,490.54903333333334
Bangalore,7,Low,Data Scientist,Entry-Level,12,1938806,601254,PhD,"JavaScript, React",AWS Certified,64,11,Night,No,Hybrid,HCL,IT Services,Negative,2,Moderate,2838803,210805,Average,Entry-Level,Data Analyst,Bangalore,Yes,Health Insurance,Moderate,Strong,Low,2024-12-15 17:53:29.688940,Clear,664.6267666666666
Kolkata,8,Low,Consultant,Lead,13,877780,2117644,Master's Degree,"C++, Algorithms",None,82,6,Day,No,Remote,HCL,Healthcare,Negative,1,High,515785,144207,Above Average,Mid-Level,Developer,Madanapalle,No,Flexible Hours,Limited,Stable,Low,2025-01-05 17:53:29.688940,Clear,743.1928333333333
Madanapalle,30,Medium,Software Engineer,Mid-Level,2,742433,1821808,Bachelor's Degree,"Java, Spring Boot",Scrum Master,59,7,Night,Yes,Remote,Cognizant,Banking,Positive,1,High,1798249,111075,Average,Mid-Level,Data Analyst,Chennai,Yes,Health Insurance,Limited,Strong,High,2024-12-27 17:53:29.688940,Ambiguous,769.9416333333334
Kolkata,15,Low,Analyst,Senior-Level,12,1539981,1529504,Bachelor's Degree,"JavaScript, React",AWS Certified,32,13,Night,Yes,Offline,Cognizant,Retail,Negative,8,Low,483040,438505,Below Average,Lead,Team Lead,Bangalore,No,Health Insurance,Moderate,Strong,Moderate,2024-12-30 17:53:29.688940,Clear,880.1013333333333
Delhi,6,High,Data Scientist,Entry-Level,11,1722193,2335848,Diploma,"Python, SQL, ML",AWS Certified,31,11,Flexible,No,Remote,Infosys,Consulting,Neutral,7,Low,2744886,491593,Average,Senior-Level,Team Lead,Delhi,No,Stock Options,Limited,Stable,Moderate,2024-12-11 17:53:29.688940,Ambiguous,466.4962
Chennai,18,High,Software Engineer,Entry-Level,13,1432680,1619295,Master's Degree,"Python, SQL, ML",AWS Certified,35,8,Day,No,Remote,Infosys,Retail,Neutral,6,High,2756258,118770,Average,Mid-Level,Team Lead,Pune,Yes,Health Insurance,Excellent,Weak,Low,2025-01-01 17:53:29.688940,Ambiguous,941.8752666666667
Pune,48,High,Software Engineer,Senior-Level,9,1948833,2169018,Master's Degree,"Python, SQL, ML",PMP,23,9,Day,Yes,Remote,HCL,Banking,Neutral,8,Moderate,2686157,230903,Average,Mid-Level,Manager,Munger,No,Flexible Hours,Moderate,Weak,High,2025-01-08 17:53:29.688940,Ambiguous,538.5385666666666
Bangalore,34,High,Analyst,Senior-Level,7,1214065,2176910,Master's Degree,"JavaScript, React",AWS Certified,42,9,Flexible,Yes,Remote,Accenture,Consulting,Positive,7,Low,815220,20495,Average,Senior-Level,Manager,Hyderabad,Yes,Stock Options,Limited,Strong,Low,2025-01-25 17:53:29.688940,Clear,873.174
Bangalore,16,High,Analyst,Senior-Level,13,1306224,2057295,PhD,"Java, Spring Boot",PMP,70,0,Day,No,Remote,HCL,Consulting,Negative,8,High,2588111,284668,Below Average,Senior-Level,Developer,Chennai,No,Stock Options,Limited,Strong,Low,2025-01-01 17:53:29.688940,Clear,403.27036666666663
Hyderabad,30,Medium,Project Manager,Entry-Level,6,1276360,1717488,Master's Degree,"AWS, Docker, Kubernetes",Google Cloud Certified,70,8,Day,Yes,Offline,HCL,Retail,Neutral,1,Moderate,2095005,80121,Below Average,Senior-Level,Data Analyst,Darbhanga,No,Stock Options,Moderate,Strong,High,2024-12-12 17:53:29.688940,Ambiguous,582.8335
Mumbai,48,High,Consultant,Mid-Level,2,1733159,1300093,Bachelor's Degree,"Python, SQL, ML",None,45,5,Night,Yes,Offline,Infosys,Retail,Negative,6,High,1269280,340392,Average,Mid-Level,Developer,Kolkata,No,Stock Options,Limited,Stable,Low,2024-12-17 17:53:29.688940,Clear,751.3093333333334
Delhi,37,Low,Data Scientist,Mid-Level,1,1921345,1937138,Diploma,"Java, Spring Boot",Scrum Master,46,5,Night,No,Offline,TCS,IT Services,Positive,8,High,2713256,15405,Average,Lead,Developer,Bangalore,Yes,Stock Options,Limited,Weak,Moderate,2025-01-07 17:53:29.688940,Ambiguous,1000.0
Delhi,17,Low,Consultant,Senior-Level,2,1554305,2366700,Bachelor's Degree,"C++, Algorithms",AWS Certified,68,13,Day,No,Offline,Infosys,Retail,Positive,8,Moderate,2636290,331191,Below Average,Lead,Data Analyst,Munger,No,Flexible Hours,Limited,Weak,Low,2024-12-11 17:53:29.688940,Clear,1000.0
Munger,18,Low,Data Scientist,Entry-Level,7,1901476,551519,Master's Degree,"C++, Algorithms",PMP,13,6,Flexible,No,Hybrid,Cognizant,Healthcare,Neutral,7,Moderate,1704788,35112,Above Average,Senior-Level,Team Lead,Darbhanga,No,Flexible Hours,Moderate,Weak,High,2024-12-14 17:53:29.688940,Ambiguous,611.8262666666667
Kolkata,28,Low,Software Engineer,Lead,2,387743,943406,Diploma,"Java, Spring Boot",AWS Certified,44,8,Flexible,Yes,Offline,Infosys,IT Services,Positive,0,Moderate,1929079,497433,Above Average,Entry-Level,Developer,Kolkata,No,Flexible Hours,Excellent,Stable,Moderate,2025-01-10 17:53:29.688940,Clear,379.30263333333335
Mumbai,38,Medium,Analyst,Entry-Level,3,579708,787695,Diploma,"C++, Algorithms",AWS Certified,51,6,Day,No,Offline,TCS,Retail,Positive,2,Moderate,1895636,362620,Below Average,Mid-Level,Data Analyst,Delhi,Yes,Stock Options,Limited,Strong,Moderate,2025-01-17 17:53:29.688940,Ambiguous,506.18786666666665
Chennai,48,Low,Analyst,Senior-Level,8,1607581,839815,Master's Degree,"C++, Algorithms",PMP,89,6,Day,No,Offline,HCL,Consulting,Negative,7,High,513521,498760,Average,Lead,Team Lead,Hyderabad,No,Stock Options,Moderate,Weak,Moderate,2024-12-28 17:53:29.688940,Clear,972.1173666666666
Chennai,30,Medium,Software Engineer,Entry-Level,7,1921467,2170430,Master's Degree,"Python, SQL, ML",AWS Certified,49,10,Day,No,Remote,TCS,Retail,Negative,2,High,1918023,473522,Average,Entry-Level,Data Analyst,Delhi,No,Stock Options,Moderate,Strong,Low,2024-12-26 17:53:29.688940,Ambiguous,1000.0
Delhi,25,Low,Software Engineer,Entry-Level,12,1808429,1458776,Bachelor's Degree,"JavaScript, React",Scrum Master,64,11,Day,No,Remote,Infosys,Banking,Neutral,3,High,1260118,471082,Below Average,Entry-Level,Data Analyst,Madanapalle,Yes,Health Insurance,Excellent,Stable,Moderate,2024-12-14 17:53:29.688940,Clear,901.0039333333333
Chennai,32,Medium,Data Scientist,Entry-Level,11,1020375,1023354,Bachelor's Degree,"JavaScript, React",Google Cloud Certified,76,2,Night,No,Remote,Accenture,IT Services,Neutral,9,Moderate,1354792,172043,Average,Entry-Level,Team Lead,Munger,No,Flexible Hours,Limited,Strong,High,2025-01-10 17:53:29.688940,Ambiguous,537.1597333333334
Hyderabad,40,Medium,Software Engineer,Lead,11,573468,1507280,PhD,"JavaScript, React",None,63,9,Night,Yes,Offline,Cognizant,Consulting,Negative,1,High,1019210,320211,Below Average,Lead,Team Lead,Hyderabad,No,Health Insurance,Moderate,Stable,Moderate,2025-01-09 17:53:29.688940,Clear,799.9736666666666
Bangalore,44,Medium,Data Scientist,Senior-Level,14,1888355,715631,PhD,"JavaScript, React",AWS Certified,22,8,Day,No,Hybrid,TCS,Retail,Positive,2,High,1311600,46859,Above Average,Mid-Level,Manager,Bangalore,No,Stock Options,Limited,Strong,High,2025-01-18 17:53:29.688940,Ambiguous,1000.0
Darbhanga,6,Low,Consultant,Senior-Level,11,641373,418435,PhD,"Java, Spring Boot",PMP,83,3,Flexible,No,Hybrid,Infosys,Banking,Neutral,4,Moderate,2654431,425293,Average,Mid-Level,Developer,Madanapalle,No,Health Insurance,Limited,Stable,High,2024-12-28 17:53:29.688940,Ambiguous,1000.0
Pune,46,Medium,Analyst,Senior-Level,9,1561107,1905668,Master's Degree,"Python, SQL, ML",Scrum Master,70,5,Night,Yes,Offline,HCL,IT Services,Negative,5,Moderate,1888750,328159,Above Average,Entry-Level,Manager,Chennai,No,Health Insurance,Moderate,Strong,Low,2025-01-26 17:53:29.688940,Ambiguous,660.9583333333333
Munger,13,High,Analyst,Mid-Level,12,1383176,1323557,Master's Degree,"Java, Spring Boot",AWS Certified,69,12,Day,No,Hybrid,Infosys,IT Services,Positive,5,Low,1935423,207020,Average,Mid-Level,Developer,Delhi,Yes,Flexible Hours,Excellent,Weak,Moderate,2025-01-14 17:53:29.688940,Ambiguous,1000.0
Kolkata,27,High,Analyst,Mid-Level,4,1937043,789213,PhD,"C++, Algorithms",Google Cloud Certified,58,6,Flexible,Yes,Hybrid,HCL,IT Services,Positive,6,Moderate,1279523,354418,Below Average,Mid-Level,Team Lead,Kolkata,Yes,Flexible Hours,Moderate,Weak,High,2024-12-24 17:53:29.688940,Clear,1000.0
Pune,19,Low,Consultant,Senior-Level,7,558590,1417088,PhD,"Python, SQL, ML",Google Cloud Certified,72,11,Night,Yes,Offline,Accenture,Consulting,Positive,9,High,1107248,470948,Average,Lead,Data Analyst,Madanapalle,No,Flexible Hours,Limited,Stable,Moderate,2025-01-22 17:53:29.688940,Ambiguous,1000.0
